Exported Data for WeMo_Insight,,,,,,,,,
Last Updated,Device Name,Device MAC,Signal Strength (%),Energy Cost per kWh,Currency,Threshold (Watts),,,
4/23/2014 14:09:00,WeMo_Insight,EC1A59F7CC24,34,0.111,$,8,,,
,,,,,,,,,
Daily Usage Summary,,,,,,,,,
Date,Time ON (Hours:Minutes),Power Consumption ON (kWh),Time STANDBY (Hours:Minutes),Power Consumption STANDBY (kWh),Average Day Connected Device is ON (Hours),Average Power When ON (Watts),Estimated Monthly Cost,Day's Cost,Energy Cost per kWh
4/23/2014,0:13:00,0.19582,13:55:00,0.07311,5.89145,926,2.09682,0.02985,0.111
4/22/2014,0:04:00,0.03509,12:27:00,0.04712,7.04242,555,2.50539,0.00913,0.111
4/21/2014,0:06:00,0.09034,14:25:00,0.06784,8.46639,203,2.9847,0.01756,0.111
4/20/2014,0:06:00,0,24:00:00,0.06117,9.55346,1012,3.23217,0.00679,0.111
4/19/2014,0:06:00,0,24:00:00,0.06112,10.32344,1012,3.49265,0.00678,0.111
4/18/2014,0:06:00,0,24:00:00,0.05982,11.22841,1012,3.79844,0.00664,0.111
4/17/2014,0:15:00,0.23085,23:44:00,0.11746,12.3068,1012,4.18211,0.03866,0.111
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Energy Data,,,,,,,,,
Date & Time,Power Consumed for past 30 mins (kWh),,,,,,,,
4/24/2014 23:59:00,0.00129,,,,,,,,
4/24/2014 23:30:00,0.00126,,,,,,,,
4/24/2014 23:00:00,0.00126,,,,,,,,
4/24/2014 22:30:00,0.0013,,,,,,,,
4/24/2014 22:00:00,0.00127,,,,,,,,
4/24/2014 21:30:00,0.00126,,,,,,,,
4/24/2014 21:00:00,0.00126,,,,,,,,
4/24/2014 20:30:00,0.0013,,,,,,,,
4/24/2014 20:00:00,0.00124,,,,,,,,
4/24/2014 19:30:00,0.00124,,,,,,,,
4/24/2014 19:00:00,0.00124,,,,,,,,
4/24/2014 18:30:00,0.00127,,,,,,,,
4/24/2014 18:00:00,0.00121,,,,,,,,
4/24/2014 17:30:00,0.0012,,,,,,,,
4/24/2014 17:00:00,0.00124,,,,,,,,
4/24/2014 16:30:00,0.00119,,,,,,,,
4/24/2014 16:00:00,0.00118,,,,,,,,
4/24/2014 15:30:00,0.0012,,,,,,,,
4/24/2014 15:00:00,0.00122,,,,,,,,
4/24/2014 14:30:00,0.03801,,,,,,,,
4/24/2014 14:00:00,0.00118,,,,,,,,
4/24/2014 13:30:00,0.00566,,,,,,,,
4/24/2014 13:00:00,0.12386,,,,,,,,
4/24/2014 12:30:00,0.09236,,,,,,,,
4/24/2014 12:00:00,0.00117,,,,,,,,
4/24/2014 11:30:00,0.00122,,,,,,,,
4/24/2014 11:00:00,0.00118,,,,,,,,
4/24/2014 10:30:00,0.00119,,,,,,,,
4/24/2014 10:00:00,0.0012,,,,,,,,
4/24/2014 9:30:00,0.00121,,,,,,,,
4/24/2014 9:00:00,0.00118,,,,,,,,
4/24/2014 8:30:00,0.00119,,,,,,,,
4/24/2014 8:00:00,0.00124,,,,,,,,
4/24/2014 7:30:00,0.00122,,,,,,,,
4/24/2014 7:00:00,0.00122,,,,,,,,
4/24/2014 6:30:00,0.00122,,,,,,,,
4/24/2014 6:00:00,0.00128,,,,,,,,
4/24/2014 5:30:00,0.00122,,,,,,,,
4/24/2014 5:00:00,0.00125,,,,,,,,
4/24/2014 4:30:00,0.00131,,,,,,,,
4/24/2014 4:00:00,0.00128,,,,,,,,
4/24/2014 3:30:00,0.00128,,,,,,,,
4/24/2014 3:00:00,0.00128,,,,,,,,
4/24/2014 2:30:00,0.00132,,,,,,,,
4/24/2014 2:00:00,0.00128,,,,,,,,
4/24/2014 1:30:00,0.00127,,,,,,,,
4/24/2014 1:00:00,0.00132,,,,,,,,
4/24/2014 0:30:00,0.00127,,,,,,,,
4/23/2014 14:09:00,0.00022,,,,,,,,
4/23/2014 14:00:00,0.00071,,,,,,,,
4/23/2014 13:30:00,0.07024,,,,,,,,
4/23/2014 13:00:00,0.01147,,,,,,,,
4/23/2014 12:30:00,0.00069,,,,,,,,
4/23/2014 12:00:00,0.07685,,,,,,,,
4/23/2014 11:30:00,0.06865,,,,,,,,
4/23/2014 11:00:00,0.0007,,,,,,,,
4/23/2014 10:30:00,0.00073,,,,,,,,
4/23/2014 10:00:00,0.00071,,,,,,,,
4/23/2014 9:30:00,0.00071,,,,,,,,
4/23/2014 9:00:00,0.00074,,,,,,,,
4/23/2014 8:30:00,0.02425,,,,,,,,
4/23/2014 8:00:00,0.00076,,,,,,,,
4/23/2014 7:30:00,0.00074,,,,,,,,
4/23/2014 7:00:00,0.00073,,,,,,,,
4/23/2014 6:30:00,0.00077,,,,,,,,
4/23/2014 6:00:00,0.00074,,,,,,,,
4/23/2014 5:30:00,0.00074,,,,,,,,
4/23/2014 5:00:00,0.00078,,,,,,,,
4/23/2014 4:30:00,0.00076,,,,,,,,
4/23/2014 4:00:00,0.00077,,,,,,,,
4/23/2014 3:30:00,0.00079,,,,,,,,
4/23/2014 3:00:00,0.00077,,,,,,,,
4/23/2014 2:30:00,0.00079,,,,,,,,
4/23/2014 2:00:00,0.00077,,,,,,,,
4/23/2014 1:30:00,0.00077,,,,,,,,
4/23/2014 1:00:00,0.00079,,,,,,,,
4/23/2014 0:30:00,0.00076,,,,,,,,
4/20/2014 23:59:00,0.00126,,,,,,,,
