Exported Data for WeMo_Insight

Last Updated,Device Name,Device MAC,Signal Strength (%),Energy Cost per kWh,Currency,Threshold (Watts)

2014/05/21 11:41,WeMo_Insight,EC1A59F7CC24,73,0.11100,$,8



Daily Usage Summary

Date,Time ON (Hours:Minutes),Power Consumption ON (kWh),Time STANDBY (Hours:Minutes),Power Consumption STANDBY (kWh),Average Day Connected Device is ON (Hours),Average Power When ON (Watts),Estimated Monthly Cost,Day's Cost,Energy Cost per kWh

2014/05/21,11:41,0.75562,0:0,0.00000,11.98954,69,2.74470,0.08387,0.11100

2014/05/20,24:0,1.26461,0:0,0.00000,11.53345,70,2.65472,0.14037,0.11100

2014/05/19,24:0,1.82379,0:0,0.00000,10.53472,72,2.52535,0.20244,0.11100

2014/05/18,24:0,1.26394,0:0,0.00000,9.36212,71,2.20904,0.14030,0.11100

2014/05/17,24:0,1.26240,0:0,0.00000,7.96576,76,2.01269,0.14013,0.11100

2014/05/16,24:0,1.54865,0:0,0.00000,6.27472,85,1.77548,0.17190,0.11100

2014/05/15,24:0,2.10474,0:0,0.00000,4.18551,98,1.36841,0.23363,0.11100

2014/05/14,12:1,1.28979,11:30,0.02632,1.57620,113,0.61352,0.14609,0.11100

2014/05/13,0:0,0.00000,23:59,0.07340,0.00998,784,0.06097,0.00815,0.11100

2014/05/12,0:1,0.04181,23:58,0.05401,0.00927,1261,0.06015,0.01064,0.11100

2014/05/11,0:1,0.00000,24:0,0.05434,0.00576,86,0.04234,0.00603,0.11100

2014/05/10,0:1,0.00000,24:0,0.05489,0.00742,86,0.05502,0.00609,0.11100

2014/05/09,0:1,0.00187,23:58,0.07686,0.01029,86,0.10705,0.00874,0.11100

2014/05/08,0:0,0.00000,23:59,0.06174,0.00581,0,0.14056,0.00685,0.11100

2014/05/07,0:0,0.00000,11:35,0.02555,0.00000,0,0.17861,0.00284,0.11100



Energy Data

Date & Time,Power Consumed for past 30 mins (kWh)

2014/05/21 11:41,0.02193

2014/05/21 11:30,0.05302

2014/05/21 11:00,0.05514

2014/05/21 10:30,0.05417

2014/05/21 10:00,0.06059

2014/05/21 09:30,0.03713

2014/05/21 09:00,0.02703

2014/05/21 08:30,0.02612

2014/05/21 08:00,0.02620

2014/05/21 07:30,0.02609

2014/05/21 07:00,0.02698

2014/05/21 06:30,0.02609

2014/05/21 06:00,0.02607

2014/05/21 05:30,0.02694

2014/05/21 05:00,0.02603

2014/05/21 04:30,0.02604

2014/05/21 04:00,0.02603

2014/05/21 03:30,0.02693

2014/05/21 03:00,0.02603

2014/05/21 02:30,0.02604

2014/05/21 02:00,0.02603

2014/05/21 01:30,0.02693

2014/05/21 01:00,0.02605

2014/05/21 00:30,0.02604

2014/05/20 23:59,0.02693

2014/05/20 23:30,0.02603

2014/05/20 23:00,0.02605

2014/05/20 22:30,0.02603

2014/05/20 22:00,0.02692

2014/05/20 21:30,0.02604

2014/05/20 21:00,0.02604

2014/05/20 20:30,0.02603

2014/05/20 20:00,0.02693

2014/05/20 19:30,0.02605

2014/05/20 19:00,0.02604

2014/05/20 18:30,0.02692

2014/05/20 18:00,0.02605

2014/05/20 17:30,0.02606

2014/05/20 17:00,0.02607

2014/05/20 16:30,0.02698

2014/05/20 16:00,0.02616

2014/05/20 15:30,0.02613

2014/05/20 15:00,0.02703

2014/05/20 14:30,0.02614

2014/05/20 14:00,0.02614

2014/05/20 13:30,0.02615

2014/05/20 13:00,0.02705

2014/05/20 12:30,0.02616

2014/05/20 12:00,0.02616

2014/05/20 11:30,0.02615

2014/05/20 11:00,0.02706

2014/05/20 10:30,0.02617

2014/05/20 10:00,0.02614

2014/05/20 09:30,0.02704

2014/05/20 09:00,0.02615

2014/05/20 08:30,0.02615

2014/05/20 08:00,0.02616

2014/05/20 07:30,0.02700

2014/05/20 07:00,0.02610

2014/05/20 06:30,0.02609

2014/05/20 06:00,0.02694

2014/05/20 05:30,0.02608

2014/05/20 05:00,0.02603

2014/05/20 04:30,0.02603

2014/05/20 04:00,0.02692

2014/05/20 03:30,0.02610

2014/05/20 03:00,0.02603

2014/05/20 02:30,0.02603

2014/05/20 02:00,0.02695

2014/05/20 01:30,0.02604

2014/05/20 01:00,0.02603

2014/05/20 00:30,0.02694

2014/05/19 23:59,0.02603

2014/05/19 23:30,0.02603

2014/05/19 23:00,0.02603

2014/05/19 22:30,0.02695

2014/05/19 22:00,0.02603

2014/05/19 21:30,0.02603

2014/05/19 21:00,0.02604

2014/05/19 20:30,0.02692

2014/05/19 20:00,0.02602

2014/05/19 19:30,0.02603

2014/05/19 19:00,0.02693

2014/05/19 18:30,0.03476

2014/05/19 18:00,0.05297

2014/05/19 17:30,0.05242

2014/05/19 17:00,0.05407

2014/05/19 16:30,0.05265

2014/05/19 16:00,0.05410

2014/05/19 15:30,0.05769

2014/05/19 15:00,0.05824

2014/05/19 14:30,0.05289

2014/05/19 14:00,0.05291

2014/05/19 13:30,0.05474

2014/05/19 13:00,0.05267

2014/05/19 12:30,0.06658

2014/05/19 12:00,0.06765

2014/05/19 11:30,0.05693

2014/05/19 11:00,0.05494

2014/05/19 10:30,0.05467

2014/05/19 10:00,0.06009

2014/05/19 09:30,0.06472

2014/05/19 09:00,0.03124

2014/05/19 08:30,0.02622

2014/05/19 08:00,0.02706

2014/05/19 07:30,0.02613

2014/05/19 07:00,0.02612

2014/05/19 06:30,0.02609

2014/05/19 06:00,0.02697

2014/05/19 05:30,0.02607

2014/05/19 05:00,0.02606

2014/05/19 04:30,0.02694

2014/05/19 04:00,0.02604

2014/05/19 03:30,0.02604

2014/05/19 03:00,0.02606

2014/05/19 02:30,0.02694

2014/05/19 02:00,0.02604

2014/05/19 01:30,0.02606

2014/05/19 01:00,0.02695

2014/05/19 00:30,0.02604

2014/05/18 23:59,0.02604

2014/05/18 23:30,0.02609

2014/05/18 23:00,0.02701

2014/05/18 22:30,0.02611

2014/05/18 22:00,0.02606

2014/05/18 21:30,0.02604

2014/05/18 21:00,0.02696

2014/05/18 20:30,0.02605

2014/05/18 20:00,0.02604

2014/05/18 19:30,0.02699

2014/05/18 19:00,0.02610

2014/05/18 18:30,0.02611

2014/05/18 18:00,0.02609

2014/05/18 17:30,0.02699

2014/05/18 17:00,0.02610

2014/05/18 16:30,0.02613

2014/05/18 16:00,0.02610

2014/05/18 15:30,0.02700

2014/05/18 15:00,0.02612

2014/05/18 14:30,0.02610

2014/05/18 14:00,0.02707

2014/05/18 13:30,0.02612

2014/05/18 13:00,0.02614

2014/05/18 12:30,0.02613

2014/05/18 12:00,0.02703

2014/05/18 11:30,0.02614

2014/05/18 11:00,0.02616

2014/05/18 10:30,0.02704

2014/05/18 10:00,0.02612

2014/05/18 09:30,0.02613

2014/05/18 09:00,0.02611

2014/05/18 08:30,0.02702

2014/05/18 08:00,0.02616

2014/05/18 07:30,0.02607

2014/05/18 07:00,0.02605

2014/05/18 06:30,0.02694

2014/05/18 06:00,0.02603

2014/05/18 05:30,0.02606

2014/05/18 05:00,0.02695

2014/05/18 04:30,0.02604

2014/05/18 04:00,0.02605

2014/05/18 03:30,0.02606

2014/05/18 03:00,0.02695

2014/05/18 02:30,0.02604

2014/05/18 02:00,0.02606

2014/05/18 01:30,0.02605

2014/05/18 01:00,0.02694

2014/05/18 00:30,0.02604

2014/05/17 23:59,0.02606

2014/05/17 23:30,0.02694

2014/05/17 23:00,0.02604

2014/05/17 22:30,0.02606

2014/05/17 22:00,0.02605

2014/05/17 21:30,0.02694

2014/05/17 21:00,0.02604

2014/05/17 20:30,0.02606

2014/05/17 20:00,0.02605

2014/05/17 19:30,0.02693

2014/05/17 19:00,0.02606

2014/05/17 18:30,0.02605

2014/05/17 18:00,0.02693

2014/05/17 17:30,0.02604

2014/05/17 17:00,0.02606

2014/05/17 16:30,0.02604

2014/05/17 16:00,0.02694

2014/05/17 15:30,0.02606

2014/05/17 15:00,0.02606

2014/05/17 14:30,0.02694

2014/05/17 14:00,0.02605

2014/05/17 13:30,0.02608

2014/05/17 13:00,0.02607

2014/05/17 12:30,0.02697

2014/05/17 12:00,0.02609

2014/05/17 11:30,0.02610

2014/05/17 11:00,0.02608

2014/05/17 10:30,0.02697

2014/05/17 10:00,0.02612

2014/05/17 09:30,0.02606

2014/05/17 09:00,0.02695

2014/05/17 08:30,0.02613

2014/05/17 08:00,0.02606

2014/05/17 07:30,0.02607

2014/05/17 07:00,0.02694

2014/05/17 06:30,0.02606

2014/05/17 06:00,0.02604

2014/05/17 05:30,0.02694

2014/05/17 05:00,0.02605

2014/05/17 04:30,0.02605

2014/05/17 04:00,0.02603

2014/05/17 03:30,0.02694

2014/05/17 03:00,0.02605

2014/05/17 02:30,0.02605

2014/05/17 02:00,0.02605

2014/05/17 01:30,0.02696

2014/05/17 01:00,0.02605

2014/05/17 00:30,0.02605

2014/05/16 23:59,0.02695

2014/05/16 23:30,0.02604

2014/05/16 23:00,0.02604

2014/05/16 22:30,0.02604

2014/05/16 22:00,0.02695

2014/05/16 21:30,0.02604

2014/05/16 21:00,0.02604

2014/05/16 20:30,0.02605

2014/05/16 20:00,0.02695

2014/05/16 19:30,0.02604

2014/05/16 19:00,0.02604

2014/05/16 18:30,0.02607

2014/05/16 18:00,0.02696

2014/05/16 17:30,0.02608

2014/05/16 17:00,0.02611

2014/05/16 16:30,0.02704

2014/05/16 16:00,0.02615

2014/05/16 15:30,0.02613

2014/05/16 15:00,0.02617

2014/05/16 14:30,0.02705

2014/05/16 14:00,0.04504

2014/05/16 13:30,0.05222

2014/05/16 13:00,0.05437

2014/05/16 12:30,0.05243

2014/05/16 12:00,0.05541

2014/05/16 11:30,0.05215

2014/05/16 11:00,0.05548

2014/05/16 10:30,0.05693

2014/05/16 10:00,0.06680

2014/05/16 09:30,0.05698

2014/05/16 09:00,0.02705

2014/05/16 08:30,0.02613

2014/05/16 08:00,0.02619

2014/05/16 07:30,0.02701

2014/05/16 07:00,0.02609

2014/05/16 06:30,0.02609

2014/05/16 06:00,0.02609

2014/05/16 05:30,0.02697

2014/05/16 05:00,0.02605

2014/05/16 04:30,0.02605

2014/05/16 04:00,0.02605

2014/05/16 03:30,0.02694

2014/05/16 03:00,0.02604

2014/05/16 02:30,0.02607

2014/05/16 02:00,0.02694

2014/05/16 01:30,0.02604

2014/05/16 01:00,0.02606

2014/05/16 00:30,0.02605

2014/05/15 23:59,0.02694

2014/05/15 23:30,0.02604

2014/05/15 23:00,0.02607

2014/05/15 22:30,0.02604

2014/05/15 22:00,0.02694

2014/05/15 21:30,0.02605

2014/05/15 21:00,0.02605

2014/05/15 20:30,0.02693

2014/05/15 20:00,0.02604

2014/05/15 19:30,0.02607

2014/05/15 19:00,0.02612

2014/05/15 18:30,0.02702

2014/05/15 18:00,0.02611

2014/05/15 17:30,0.02908

2014/05/15 17:00,0.05471

2014/05/15 16:30,0.05297

2014/05/15 16:00,0.05301

2014/05/15 15:30,0.05304

