MTU, Time, Energy, Cost
MTU1,05/21/2014 11:00:00,1.422,0.51
MTU1,05/21/2014 10:00:00,1.335,0.48
MTU1,05/21/2014 09:00:00,1.159,0.42
MTU1,05/21/2014 08:00:00,0.736,0.26
MTU1,05/21/2014 07:00:00,0.518,0.19
MTU1,05/21/2014 06:00:00,0.584,0.21
MTU1,05/21/2014 05:00:00,0.630,0.23
MTU1,05/21/2014 04:00:00,0.567,0.21
MTU1,05/21/2014 03:00:00,0.522,0.19
MTU1,05/21/2014 02:00:00,0.527,0.19
MTU1,05/21/2014 01:00:00,0.560,0.20
MTU1,05/21/2014 00:00:00,0.518,0.19
MTU1,05/20/2014 23:00:00,0.515,0.19
MTU1,05/20/2014 22:00:00,0.523,0.19
MTU1,05/20/2014 21:00:00,0.601,0.22
MTU1,05/20/2014 20:00:00,0.624,0.23
MTU1,05/20/2014 19:00:00,1.038,0.37
MTU1,05/20/2014 18:00:00,1.131,0.41
MTU1,05/20/2014 17:00:00,1.163,0.42
MTU1,05/20/2014 16:00:00,1.215,0.44
MTU1,05/20/2014 15:00:00,1.310,0.47
MTU1,05/20/2014 14:00:00,1.414,0.51
MTU1,05/20/2014 13:00:00,1.453,0.52
MTU1,05/20/2014 12:00:00,1.401,0.50
MTU1,05/20/2014 11:00:00,1.303,0.47
MTU1,05/20/2014 10:00:00,1.365,0.49
MTU1,05/20/2014 09:00:00,1.372,0.49
MTU1,05/20/2014 08:00:00,0.698,0.25
MTU1,05/20/2014 07:00:00,0.525,0.19
MTU1,05/20/2014 06:00:00,0.580,0.21
MTU1,05/20/2014 05:00:00,0.630,0.23
MTU1,05/20/2014 04:00:00,0.570,0.21
MTU1,05/20/2014 03:00:00,0.520,0.19
MTU1,05/20/2014 02:00:00,0.519,0.19
MTU1,05/20/2014 01:00:00,0.519,0.19
MTU1,05/20/2014 00:00:00,0.518,0.19
MTU1,05/19/2014 23:00:00,0.517,0.19
MTU1,05/19/2014 22:00:00,0.512,0.19
MTU1,05/19/2014 21:00:00,0.518,0.19
MTU1,05/19/2014 20:00:00,0.520,0.19
MTU1,05/19/2014 19:00:00,0.541,0.20
MTU1,05/19/2014 18:00:00,0.720,0.26
MTU1,05/19/2014 17:00:00,1.232,0.44
MTU1,05/19/2014 16:00:00,1.269,0.46
MTU1,05/19/2014 15:00:00,1.357,0.49
MTU1,05/19/2014 14:00:00,1.314,0.47
MTU1,05/19/2014 13:00:00,1.296,0.47
MTU1,05/19/2014 12:00:00,1.363,0.49
MTU1,05/19/2014 11:00:00,1.390,0.50
MTU1,05/19/2014 10:00:00,1.269,0.46
MTU1,05/19/2014 09:00:00,0.959,0.35
MTU1,05/19/2014 08:00:00,0.575,0.21
MTU1,05/19/2014 07:00:00,0.529,0.19
MTU1,05/19/2014 06:00:00,0.588,0.21
MTU1,05/19/2014 05:00:00,0.646,0.23
MTU1,05/19/2014 04:00:00,0.559,0.20
MTU1,05/19/2014 03:00:00,0.524,0.19
MTU1,05/19/2014 02:00:00,0.532,0.19
MTU1,05/19/2014 01:00:00,0.532,0.19
MTU1,05/19/2014 00:00:00,0.525,0.19
MTU1,05/18/2014 23:00:00,0.530,0.19
MTU1,05/18/2014 22:00:00,0.530,0.19
MTU1,05/18/2014 21:00:00,0.520,0.19
MTU1,05/18/2014 20:00:00,0.521,0.19
MTU1,05/18/2014 19:00:00,0.532,0.19
MTU1,05/18/2014 18:00:00,0.539,0.19
MTU1,05/18/2014 17:00:00,0.566,0.20
MTU1,05/18/2014 16:00:00,0.524,0.19
MTU1,05/18/2014 15:00:00,0.520,0.19
MTU1,05/18/2014 14:00:00,0.525,0.19
MTU1,05/18/2014 13:00:00,0.529,0.19
MTU1,05/18/2014 12:00:00,0.518,0.19
MTU1,05/18/2014 11:00:00,0.519,0.19
MTU1,05/18/2014 10:00:00,0.528,0.19
MTU1,05/18/2014 09:00:00,0.523,0.19
MTU1,05/18/2014 08:00:00,0.519,0.19
MTU1,05/18/2014 07:00:00,0.527,0.19
MTU1,05/18/2014 06:00:00,0.593,0.21
MTU1,05/18/2014 05:00:00,0.632,0.23
MTU1,05/18/2014 04:00:00,0.576,0.21
MTU1,05/18/2014 03:00:00,0.534,0.19
MTU1,05/18/2014 02:00:00,0.528,0.19
MTU1,05/18/2014 01:00:00,0.524,0.19
MTU1,05/18/2014 00:00:00,0.526,0.19
